round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,13.818303,0.262500,0.243750,0.150000,0.106767,0.054275,0.032257,0.179419,0.166899,0.163421,0.163421,0.163421,0.163421
2,17.752356,0.275000,0.268750,0.212500,0.113484,0.059969,0.066754,0.196626,0.168399,0.158637,0.158627,0.158627,0.159085
3,19.358782,0.343750,0.300000,0.231250,0.119995,0.065408,0.102422,0.214704,0.168006,0.153427,0.153526,0.154521,0.155817
4,17.390733,0.318750,0.287500,0.200000,0.125468,0.069344,0.131754,0.232099,0.165093,0.149127,0.149383,0.151418,0.152881
5,21.620119,0.356250,0.337500,0.256250,0.131427,0.074205,0.160562,0.253534,0.162412,0.143102,0.143604,0.147468,0.149880
6,17.703903,0.312500,0.275000,0.212500,0.135114,0.077413,0.179878,0.270473,0.162966,0.137108,0.137834,0.144655,0.146963
7,16.002371,0.287500,0.256250,0.187500,0.137868,0.079515,0.191574,0.285904,0.164486,0.131007,0.131931,0.142460,0.144212
8,18.180706,0.312500,0.250000,0.231250,0.140190,0.082866,0.207605,0.305906,0.161582,0.125317,0.126361,0.139726,0.141108
9,17.911843,0.306250,0.281250,0.212500,0.143158,0.085161,0.227337,0.323375,0.162814,0.118559,0.119623,0.137962,0.137668
10,17.210487,0.300000,0.268750,0.206250,0.145395,0.086973,0.242764,0.339683,0.163766,0.112112,0.113407,0.136230,0.134802
11,19.050802,0.312500,0.293750,0.225000,0.148089,0.089144,0.264750,0.357254,0.162426,0.106131,0.107713,0.134294,0.132183
12,17.078069,0.300000,0.256250,0.206250,0.149453,0.090606,0.275501,0.372256,0.162225,0.100380,0.102117,0.133286,0.129736
13,12.775592,0.237500,0.206250,0.143750,0.149484,0.090220,0.284277,0.384951,0.161712,0.095095,0.097079,0.133375,0.127788
14,13.841434,0.287500,0.231250,0.156250,0.149997,0.090196,0.289575,0.396845,0.161374,0.089972,0.092317,0.133733,0.125759
15,16.024716,0.275000,0.237500,0.193750,0.150736,0.091227,0.293042,0.412376,0.158781,0.084142,0.086692,0.134504,0.123506
16,16.036136,0.268750,0.243750,0.193750,0.151691,0.092162,0.300646,0.425867,0.159212,0.077835,0.080426,0.135905,0.120755
17,15.729354,0.306250,0.243750,0.187500,0.152316,0.092943,0.305241,0.439185,0.158345,0.072810,0.075823,0.135488,0.118350
18,18.614717,0.318750,0.287500,0.218750,0.154034,0.094292,0.316623,0.454094,0.159598,0.065966,0.069123,0.136079,0.115139
19,15.879869,0.306250,0.256250,0.181250,0.154794,0.094563,0.322481,0.467189,0.158369,0.060559,0.063821,0.137208,0.112854
20,18.253371,0.300000,0.275000,0.218750,0.155910,0.095617,0.329079,0.480334,0.158195,0.053210,0.056773,0.141215,0.110273
